job_id,sentence_id,sentence,source_section
002364201402001,1,负责项目前期现场技术考察工作,岗位职责
002364201402001,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201402001,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201402001,4,负责项目现场的组织和管理工作,岗位职责
002364201402001,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201403002,1,负责项目前期现场技术考察工作,岗位职责
002364201403002,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201403002,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201403002,4,负责项目现场的组织和管理工作,岗位职责
002364201403002,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201405003,1,负责项目前期现场技术考察工作,岗位职责
002364201405003,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201405003,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201405003,4,负责项目现场的组织和管理工作,岗位职责
002364201405003,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201406004,1,负责项目前期现场技术考察工作,岗位职责
002364201406004,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201406004,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201406004,4,负责项目现场的组织和管理工作,岗位职责
002364201406004,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201407005,1,软件设计师，主要是确定系统功能需求规范，完成系统的设计，协助系统的开发与测试工作,职位概要
002364201407005,2,掌握公司现有的产品，负责前期的技术交流和系统介绍,职位概要
002364201407005,3,与客户/前方销售人员接触，了解并确定客户需求，完成业务需求和相关资料的收集,主要职责
002364201407005,4,根据需求撰写需求规范文档及功能规范（概要设计）文档,主要职责
002364201407005,5,完成软件产品的界面设计，数据库设计，以及系统的详细设计,主要职责
002364201407005,6,负责与系统开发、测试等小组沟通，确保各个协作小组对系统设计文档的充分准确理解,主要职责
002364201407005,7,推动及协调开发进度，把控项目质量,主要职责
002364201407005,8,配合测试组完成产品的测试工作,主要职责
002364201407005,9,掌握公司现有的产品，负责前期的技术交流和系统介绍,主要职责
002364201408006,1,负责项目前期现场技术考察工作,岗位职责
002364201408006,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201408006,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201408006,4,负责项目现场的组织和管理工作,岗位职责
002364201408006,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201409007,1,负责项目前期现场技术考察工作,岗位职责
002364201409007,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201409007,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201409007,4,负责项目现场的组织和管理工作,岗位职责
002364201409007,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201413008,1,负责项目前期现场技术考察工作,岗位职责
002364201413008,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201413008,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201413008,4,负责项目现场的组织和管理工作,岗位职责
002364201413008,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201414009,1,负责项目前期现场技术考察工作,岗位职责
002364201414009,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201414009,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201414009,4,负责项目现场的组织和管理工作,岗位职责
002364201414009,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201415010,1,负责项目前期现场技术考察工作,岗位职责
002364201415010,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201415010,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201415010,4,负责项目现场的组织和管理工作,岗位职责
002364201415010,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201416011,1,负责项目前期现场技术考察工作,岗位职责
002364201416011,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201416011,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201416011,4,负责项目现场的组织和管理工作,岗位职责
002364201416011,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201417012,1,根据公司下达的销售目标，制定所辖区域或产品方向的市场营销策略和营销计划（年、季、月），分解销售目标，对所辖区域年度销售指标的完成负责,职责描述
002364201417012,2,组织和指导本区域销售人员做好营销策略和营销计划,职责描述
