job_id,task_ids,task_count,avg_score
2364201402001,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201403002,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201405003,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201406004,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201407005,"9680,18957,944,826,20714,22412,17591,8115,1448,15426,1124,9667,16207,15982,1357,14637,23920,16212,20304,21664,21277,19610,3244,20332,16163,1277,4937,1400,5318,14666,16963,11384,3895,11428,14633,14737,22829,20555,21650,16099,1560,9712,18475,1857,18958,1546,14660,7402,15698,14191,14670,1322,21669,21953,16476,14653,21667,1709,21662,14704,14646,9695,16177,16488,1429,21929,9261,16787,20932,13560,16109,16128,297,16231,16209",75,0.7561
2364201408006,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201409007,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201413008,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201414009,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201415010,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201416011,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201417012,"17660,11,954,14,18586,5436,665,18040,21221,3,16267,9668,22540,2686,674,22186,8,9680,968,17606,8124,670,23209,933,6,3156,18831,4327,23696,23157,2474,23162,23234,23575,8794,2376,13201,23308,12873,2682,1418,20188,4589,9692,660,18534,22600,17588,1124,21311,20266,5301,944,23265,23312",55,0.7622
2364201418013,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201419014,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201420015,"1365,305,8292,4028,12873,9794,1071,1654,7206,13,12953,18961,23901,9679,20822,12962,1363,21475,21107,21174,23612,22539,21130,3560,1360,1328,11570,19407,3474,15477,18193,17494,19639,15516,1866",35,0.7128
2364201421016,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201422017,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
2364201423018,"20490,16163,14260,18520,16165,1462,11428,15857,22666,11048,16167,21918,14637,21945,18521,16836,21929,23611,20862,10042,3323,20997,18960,6027,15505,15439,15507,1466,17729,22118,9521,15816,17945,16072,5850,21162,11680,21610,16156,21499,8945,9793,1465,16276",44,0.7177
