岗位编号,0.5任务ID
27201501001,
27201502002,"1159,138,16228,16934,17736,19625,20171,20485,21279,21943,22027,2795,3073"
27201505003,"11004,12311,19625,20171,20493,21462,21942,3644,9695"
27201506004,"10614,11428,15417,16163,16165,16228,16466,18048,20171,21462,21943,3537,4596,8940"
27201508005,"138,14470,14848,15368,16228,19625,20171,21942,2654,3560,9687"
27201511006,"1159,138,1524,15368,15666,16228,16428,16466,20171,20726,21943,22036,7956"
27201513007,"14470,20176,20197,21462,2604"
27201515008,"11262,11428,138,14667,15417,16583,19625,20171,20340,20486,20490,20979,21480,21481,22019,22752,3318,8292,9266"
27201519009,"10056,11428,12311,15460,16722,20171,20493,3331,3969,9009"
27201521010,"1380,1531,19520,20445,21516,3589,9200"
27201523011,"15374,18898,19611,21877,21954,22011,22829,2604"
27201524012,"1380,1531,15425,17494,19520,22010,9200"
27201526013,"10056,10607,12311,18062,19625,20171,20493,21462,21475,21931,3331,3644,9122"
27201534014,"1511,1547,20148,20195,20445,20739,3558,3658,8830,9200"
27201536015,"11212,15427,16276,21475,7276,9793"
27201540016,"14685,16604,1761,19860,20268,20493,20947,2493,5261,894,8940,9631"
27201541017,"1525,18054,18898,19611,21462,21881,21954,22829,23430"
27201542018,"1373,1761,18959,19918,20493,20947,5197,893"
27201543019,"10796,1389,15815,18520,20171,20493,21943,3537,3644,574,9683"
27201549020,"11428,138,1466,16228,16466,19866,20170,20171,20486,21462,21481,21943,22135,22752,3560,374,8292,978"
27201550021,"13024,1462,15417,16363,16934,21462,22027,22086,22829,3244,3644,8292"
